,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNMB1_FXBSP2_tag18_A11,247,43,43,7,2,2,43,2,0,7
RNMB1_FXBSP2_tag18_A1,7075,1361,1361,97,1272,44,1361,1272,0,98
RNMB1_FXBSP2_tag18_A2,3667,778,778,44,763,33,778,763,0,45
RNMB1_FXBSP2_tag18_A3,5622,953,953,73,868,49,953,868,0,74
RNMB1_FXBSP2_tag18_A5,6316,1186,1186,89,1065,43,1186,1065,0,89
RNMB1_FXBSP2_tag18_A7,2388,463,463,47,437,32,463,437,0,50
RNMB1_FXBSP2_tag18_A8,488,112,112,36,100,25,112,100,0,36
RNMB1_FXBSP2_tag18_B3,2346,511,511,59,495,43,511,495,0,61
RNMB1_FXBSP2_tag18_B4,2640,619,619,70,576,48,619,576,0,71
RNMB1_FXBSP2_tag18_B5,4070,685,685,63,612,42,685,612,0,67
RNMB1_FXBSP2_tag18_B6,6435,1126,1126,74,1100,53,1126,1100,0,74
RNMB1_FXBSP2_tag18_B8,3769,633,633,92,551,52,633,551,0,93
RNMB1_FXBSP2_tag18_C10,10785,1764,1764,46,1723,23,1764,1723,0,48
RNMB1_FXBSP2_tag18_C12,7829,2139,2139,76,2100,39,2139,2100,0,79
RNMB1_FXBSP2_tag18_C2,3996,987,987,60,966,37,987,966,0,62
RNMB1_FXBSP2_tag18_C4,4081,700,700,63,651,34,700,651,0,64
RNMB1_FXBSP2_tag18_C5,1741,352,352,51,330,33,352,330,0,52
RNMB1_FXBSP2_tag18_C8,1907,524,524,48,514,36,524,514,0,49
RNMB1_FXBSP2_tag18_D11,9624,2166,2166,58,2146,35,2166,2146,0,60
RNMB1_FXBSP2_tag18_D12,5813,1378,1378,55,1357,38,1378,1357,0,56
RNMB1_FXBSP2_tag18_D2,2849,659,659,52,650,45,659,650,0,55
RNMB1_FXBSP2_tag18_D5,3111,540,540,56,516,37,540,516,0,57
RNMB1_FXBSP2_tag18_D6,2,2,2,2,2,2,2,2,0,2
RNMB1_FXBSP2_tag18_D8,8681,1390,1390,51,1371,30,1390,1371,0,52
RNMB1_FXBSP2_tag18_E10,7389,1400,1400,45,1350,21,1400,1350,0,47
RNMB1_FXBSP2_tag18_E11,9006,1729,1729,45,1708,30,1729,1708,0,45
RNMB1_FXBSP2_tag18_E12,6475,1462,1462,35,1453,24,1462,1453,0,37
RNMB1_FXBSP2_tag18_E2,3460,766,766,70,735,44,766,735,0,71
RNMB1_FXBSP2_tag18_E3,3475,688,688,86,608,49,688,608,0,89
RNMB1_FXBSP2_tag18_E4,2984,444,444,33,440,29,444,440,0,35
RNMB1_FXBSP2_tag18_E5,1374,280,280,56,267,43,280,267,0,56
RNMB1_FXBSP2_tag18_E7,4956,918,918,77,843,49,918,843,0,81
RNMB1_FXBSP2_tag18_E8,5885,1307,1307,59,1285,35,1307,1285,0,61
RNMB1_FXBSP2_tag18_F11,7199,1772,1772,47,1752,27,1772,1752,0,47
RNMB1_FXBSP2_tag18_F12,3437,896,896,37,888,26,896,888,0,38
RNMB1_FXBSP2_tag18_F1,7818,1096,1096,60,1068,39,1096,1068,0,62
RNMB1_FXBSP2_tag18_F2,3214,648,648,59,611,31,648,611,0,59
RNMB1_FXBSP2_tag18_F3,7196,1078,1078,34,1070,25,1078,1070,0,35
RNMB1_FXBSP2_tag18_F5,3660,847,847,92,819,65,847,819,0,94
RNMB1_FXBSP2_tag18_F6,4813,949,949,98,854,61,949,854,0,101
RNMB1_FXBSP2_tag18_F8,4876,1158,1158,60,1135,39,1158,1135,0,61
RNMB1_FXBSP2_tag18_F9,4380,624,624,48,603,33,624,603,0,49
RNMB1_FXBSP2_tag18_G11,9569,1973,1973,49,1884,37,1973,1884,0,53
RNMB1_FXBSP2_tag18_G12,10279,2349,2349,113,2279,54,2349,2279,0,113
RNMB1_FXBSP2_tag18_G4,4355,649,649,76,566,40,649,566,0,76
RNMB1_FXBSP2_tag18_G6,6025,1274,1274,82,1246,56,1274,1246,0,85
RNMB1_FXBSP2_tag18_G7,5464,905,905,82,847,52,905,847,0,84
RNMB1_FXBSP2_tag18_G8,5095,1078,1078,42,1063,25,1078,1063,0,44
RNMB1_FXBSP2_tag18_G9,6506,722,722,56,409,30,722,409,0,57
RNMB1_FXBSP2_tag18_H10,2,2,2,2,2,2,2,2,0,2
RNMB1_FXBSP2_tag18_H2,4200,735,735,51,691,27,735,691,0,51
